Account,date,daily_pnl,n_trades,n_wins,win_rate,avg_trade_size_usd,total_volume_usd,longs,shorts,value,classification
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-06-12,-175611.00005600002,33.0,0.0,0.0,36736.36242424243,1212299.96,33.0,0.0,72,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,177.0,0.0,0.0,5089.718248587571,900880.1300000001,0.0,177.0,76,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-03,9482.221441,45.0,36.0,0.8,2985.7975555555554,134360.88999999998,36.0,9.0,74,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.00000000001,10.0,9.0,0.9,185847.0,1858470.0,9.0,1.0,60,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-02,101011.685664,839.0,256.0,0.30512514898688914,23593.019856972584,19794543.659999996,350.0,489.0,26,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,533974.662903,641.0,540.0,0.8424336973478939,8371.136099843994,5365898.24,540.0,101.0,33,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-02,375620.27024299995,531.0,83.0,0.15630885122410546,10576.687156308852,5616220.88,111.0,420.0,44,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-05-02,44400.90580000001,210.0,78.0,0.37142857142857144,26585.063380952382,5582863.3100000005,78.0,132.0,67,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-01-12,0.0,1.0,0.0,0.0,0.06,0.06,0.0,1.0,71,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-06-12,0.0,34.0,0.0,0.0,1426.87,48513.579999999994,34.0,0.0,72,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-07-12,3515.031065,26.0,25.0,0.9615384615384616,2001.101153846154,52028.630000000005,0.0,26.0,25,Fear
